"peoplecode_sfblist"	"people_code_orcid"	"Name"	"role_group"	"orcid.x"	"project"	"bio"	"homepage"	"avatar"	"twitter"	"github"	"orcidnum"
"agnes-fl-el"	"Agnes-fl-el"	"Prof. Agnes Flöel"	"PI"	"https://orcid.org/0000-0002-1475-5872"	"B03"	NA	"https://www2.medizin.uni-greifswald.de/neurolog/klinik/mitarbeiter/prof-dr-agnes-floeel/"	NA	"https://twitter.com/AgnesFloel"	NA	"0000-0002-1475-5872"
"alexej-schatz"	"alexej-schatz"	"Dr. Alexej Schatz"	"Post-doc"	NA	"C02"	"Post doc in project C02"	"https://www.winterlab.org/"	NA	NA	NA	NA
"angela-kaindl"	"angela-kaindl"	"Prof. Angela Kaindl"	"PI"	"https://orcid.org/0000-0001-9454-206X"	"B04"	NA	"https://www.charite.de/en/service/en_person_detail/person/address_detail/kaindl/"	NA	NA	NA	"0000-0001-9454-206X"
"anisha-dayaram"	"anisha-dayaram"	"Dr. Anisha Dayaram"	"Post-doc"	"https://orcid.org/0000-0003-4160-812X"	"C01"	"Post doc in project C01"	"http://www.rosenmundlab.de/en/people/3"	NA	NA	NA	"0000-0003-4160-812X"
"anne-voigt"	"anne-voigt"	"Anne Voigt"	"PhD student"	NA	"A01"	"PhD student in project A01"	"https://schmitz.neurocure.de/"	"done"	NA	NA	NA
"anton-dvorzhak"	"anton-dvorzhak"	"Dr. Anton Dvorzhak"	"Post-doc"	NA	"A02"	"Post doc in project A02"	"https://schmitz.neurocure.de/"	NA	NA	NA	NA
"beatriz-rebollo-gonzalez"	"beatriz-rebollo-gonzalez"	"Dr. Beatriz Rebollo-Gonzalez"	"Post-doc"	NA	"C01"	"Post doc in project C01"	"http://www.rosenmundlab.de/en/people/3"	NA	NA	NA	NA
"benjamin-judkewitz"	"benjamin-judkewitz"	"Prof. Benjamin Judkewitz"	"PI"	"https://orcid.org/0000-0002-8570-3869"	"A05"	NA	"https://www.jlab.berlin/"	NA	"https://twitter.com/benjulab"	NA	"0000-0002-8570-3869"
"bernhard-weschke"	"bernhard-weschke"	"Dr. Bernhard Weschke"	"Post-doc"	"https://orcid.org/0000-0003-4533-0743"	"B04"	"Post doc in project B04"	"https://www.charite.de/en/service/en_person_detail/person/address_detail/kaindl/"	NA	NA	NA	"0000-0003-4533-0743"
"caglar-cakan"	"caglar-cakan"	"Caglar Cakan"	"PhD student"	"https://orcid.org/0000-0002-1902-5393"	"B03"	"PhD student in project B03"	"https://www.ni.tu-berlin.de/menue/neural_information_processing_group/"	NA	NA	NA	"0000-0002-1902-5393"
"carsten-finke"	"carsten-finke"	"Prof. Carsten Finke"	"PI"	"https://orcid.org/0000-0002-7665-1171"	"B05"	NA	"http://www.mind-and-brain.de/people/cognition-in-neurological-disorders-group/"	NA	"https://twitter.com/carstenfinke"	NA	"0000-0002-7665-1171"
"christian-rosemund"	"christian-rosenmund"	"Prof. Christian Rosenmund"	"PI"	"https://orcid.org/0000-0002-3905-2444"	"C01"	NA	"http://www.rosenmundlab.de/en/people/3"	NA	NA	NA	"0000-0002-3905-2444"
"christoph-ploner"	"christoph-johannes-ploner"	"Prof. Christoph Ploner"	"PI"	"https://orcid.org/0000-0003-0983-4530"	"B05"	NA	"https://neurologie.charite.de/en/forschung/working_groups/brain_behavior/"	NA	NA	NA	"0000-0003-0983-4530"
"claire-cooper"	"claire-cooper"	"Claire Cooper"	"PhD student"	"https://orcid.org/0000-0003-2782-8986"	"C01"	"PhD student in project C01"	"https://schmitz.neurocure.de/"	NA	NA	NA	"0000-0003-2782-8986"
"clarissa-whitmire"	"clarissa-whitmire"	"Dr. Clarissa Whitmire"	"Post-doc"	"https://orcid.org/0000-0001-5789-4293"	"A05"	"Post doc in project A05"	"https://www.mdc-berlin.de/poulet"	NA	NA	NA	"0000-0001-5789-4293"
"claudia-bu-"	"claudia-buss"	"Prof. Claudia Buß"	"PI"	"https://orcid.org/0000-0002-8738-3133"	"B04"	NA	"https://medpsych.charite.de/metas/person/person/address_detail/buss-3/"	NA	NA	NA	"0000-0002-8738-3133"
