,"FIRST AUTHOR","PUB DATE","LINK TO Preprint","LINK TO PUB","doi","NOT open","OPEN","changedopenstatus","PROJECT","SFB Website","HU BOX","REPOSITORY LINK","is_oa","authorl",,"url","issued","not only PI","at least 2 authors from sfb, not same AG"
"33","Papadopoulos I. N.","2020 june 30","NA","https://www.nature.com/articles/s41377-020-00348-x","10.1038/s41377-020-00348-x","0","1","NA","A04,A05","n","y","-","TRUE","Ioannis N. Papadopoulos, Jean-Sebastien Jouhanneau, Naoya Takahashi, David Kaplan, Matthew Larkum, James Poulet, Benjamin Judkewitz","Naoya Takahashi","http://dx.doi.org/10.1038/s41377-020-00348-x","2020-06-30",1,1
"34","Patricio-Montesinos R.","NA","https://www.biorxiv.org/content/10.1101/502369v1","https://www.cell.com/neuron/fulltext/S0896-6273(20)30186-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0896627320301860%3Fshowall%3Dtrue","10.1016/j.neuron.2020.02.035","0","1","NA","A05","y","y","https://www.biorxiv.org/content/10.1101/502369v1","TRUE","Ricardo Paricio-Montesinos, Frederick Schwaller, Annapoorani Udhayachandran, Florian Rau, Jan Walcher, Roberta Evangelista, Joris Vriens, Thomas Voets, James F.A. Poulet, Gary R. Lewin","Ricardo Paricio-Montesinos,","http://dx.doi.org/10.1016/j.neuron.2020.02.035","2020-06",1,1
"36","Raccuglia D.","NA","NA","https://www.cell.com/current-biology/fulltext/S0960-9822(19)31120-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982219311200%3Fshowall%3Dtrue","10.1016/j.cub.2019.08.070","0","1","NA","A07, A08","y","y","-","TRUE","Davide Raccuglia, Sheng Huang, Anatoli Ender, M.-Marcel Heim, Desiree Laber, Raquel Suárez-Grimalt, Agustin Liotta, Stephan J. Sigrist, Jörg R.P. Geiger, David Owald","Sheng Huang,","http://dx.doi.org/10.1016/j.cub.2019.08.070","2019-11",1,1
"51","Sigl-Glöckner J.","NA","NA","https://www.cell.com/current-biology/fulltext/S0960-9822(19)31112-1?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982219311121%3Fshowall%3Dtrue","10.1016/j.cub.2019.08.062","0","1","1","A04,A03","NA","y","-","TRUE","Johanna Sigl-Glöckner, Eduard Maier, Naoya Takahashi, Robert Sachdev, Matthew Larkum, Michael Brecht","Naoya Takahashi,","http://dx.doi.org/10.1016/j.cub.2019.08.062","2019-11",1,1
"8","Cakan C.","23 April 2020","NA","https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1007822","10.1371/journal.pcbi.1007822","0","1","NA","B03","y","y","-","TRUE","Caglar Cakan, Klaus Obermayer","Caglar Cakan","http://dx.doi.org/10.1371/journal.pcbi.1007822","2020-04-23",1,0
"10","Colomb J.","NA","NA","https://www.tandfonline.com/doi/full/10.1080/08989621.2020.1779591","10.1080/08989621.2020.1779591","0","1","NA","Z","n","y","NA","TRUE","Nicole A. Vasilevsky, Mohammad Hosseini, Samantha Teplitzky, Violeta Ilik, Ehsan Mohammadi, Juliane Schneider, Barbara Kern, Julien Colomb, Scott C. Edmunds, Karen Gutzman, Daniel S. Himmelstein, Marijane White, Britton Smith, Lisa O’Keefe, Melissa Haendel, Kristi L. Holmes","colomb","http://dx.doi.org/10.1080/08989621.2020.1779591","2020-06-30",1,0
"11","Dominiak S.E.","2019 december 4","https://www.biorxiv.org/content/10.1101/568030v2","https://www.jneurosci.org/content/39/49/9818","10.1523/jneurosci.1809-19.2019","0","1","NA","A04","y","Preprint","https://www.biorxiv.org/content/10.1101/568030v2","TRUE","Sina E. Dominiak, Mostafa A. Nashaat, Keisuke Sehara, Hatem Oraby, Matthew E. Larkum, Robert N.S. Sachdev","Hatem Oraby","http://dx.doi.org/10.1523/jneurosci.1809-19.2019","2019-10-30",1,0
"14","Fischer M.","30 June 2020","NA","https://www.aging-us.com/article/103527","10.18632/aging.103527","0","1","NA","B03","n","y","-","TRUE","Maximilian Fischer, Johanna Ruhnau, Juliane Schulze, Daniela Obst, Agnes Flöel, Antje Vogelgesang","Daniela Obst","http://dx.doi.org/10.18632/aging.103527","2020-06-30",1,0
"17","Huang, S.","NA","NA","https://www.cell.com/current-biology/fulltext/S0960-9822(20)30019-1?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982220300191%3Fshowall%3Dtrue","10.1016/j.cub.2020.01.019","1","0","1","A08","y","y","-","FALSE","Sheng Huang, Chengji Piao, Christine B. Beuschel, Torsten Götz, Stephan J. Sigrist","Torsten Götz","http://dx.doi.org/10.1016/j.cub.2020.01.019","2020-03",1,0
"21","Liang Y.T.","NA","NA","https://www.mdpi.com/2073-4409/8/1/34","10.3390/cells8010034","0","1","NA","A08","y","y","-","TRUE","YongTian Liang","YongTian Liang","http://dx.doi.org/10.3390/cells8010034","2019-01-09",1,0
"22","Liu K. Y.","2020 april 6","NA","https://www.nature.com/articles/s41467-020-15410-w","10.1038/s41467-020-15410-w","0","1","NA","B06","y","y","-","TRUE","Kathy Y. Liu, NA NA, Rogier A. Kievit, Kamen A. Tsvetanov, Matthew J. Betts, Emrah Düzel, James B. Rowe, Robert Howard, Dorothea Hämmerer","Dorothea Hämmerer","http://dx.doi.org/10.1038/s41467-020-15410-w","2020-04-06",1,0
"30","Nitzan N.","NA","https://www.biorxiv.org/content/10.1101/2020.02.27.966770v1","https://www.nature.com/articles/s41467-020-15787-8","10.1038/s41467-020-15787-8","0","1","NA","A01,A02","y","y","https://www.biorxiv.org/content/10.1101/2020.02.27.966770v1","TRUE","Noam Nitzan, Sam McKenzie, Prateep Beed, Daniel Fine English, Silvia Oldani, John J. Tukker, György Buzsáki, Dietmar Schmitz","Noam Nitzan","http://dx.doi.org/10.1038/s41467-020-15787-8","2020-04-23",1,0
"35","Quade B.","NA","NA","https://elifesciences.org/articles/42806","10.7554/elife.42806","0","1","NA","C01","y","n","-","TRUE","Bradley Quade, Marcial Camacho, Xiaowei Zhao, Marta Orlando, Thorsten Trimbuch, Junjie Xu, Wei Li, Daniela Nicastro, Christian Rosenmund, Josep Rizo","Thorsten Trimbuch,","http://dx.doi.org/10.7554/elife.42806","2019-02-28",1,0
"52","Stefanovski L.","NA","https://www.biorxiv.org/content/10.1101/600205v2","https://www.frontiersin.org/articles/10.3389/fncom.2019.00054/full","10.3389/fncom.2019.00054","0","1","NA","B06","y","y","https://www.biorxiv.org/content/10.1101/600205v2","TRUE","Leon Stefanovski, Paul Triebkorn, Andreas Spiegler, Margarita-Arimatea Diaz-Cortes, Ana Solodkin, Viktor Jirsa, Anthony Randal McIntosh, Petra Ritter, NA NA","Paul Triebkorn","http://dx.doi.org/10.3389/fncom.2019.00054","2019-08-13",1,0
"53","Takahashi N","NA","NA","https://www.nature.com/articles/s41593-020-0677-8","10.1038/s41593-020-0677-8","1","0","NA","A04","y","y","NA","FALSE","Naoya Takahashi, Christian Ebner, Johanna Sigl-Glöckner, Sara Moberg, Svenja Nierwetberg, Matthew E. Larkum","Naoya Takahashi,","http://dx.doi.org/10.1038/s41593-020-0677-8","2020-08-03",1,0
"3","Bach D.R.","23 October 2019","NA","https://www.jneurosci.org/content/early/2019/09/09/JNEUROSCI.0412-19.2019","10.1523/jneurosci.0412-19.2019","0","1","NA","B05","y","y","-","TRUE","Dominik R. Bach, Martina Hoffmann, Carsten Finke, Rene Hurlemann, Christoph J. Ploner","ploner","http://dx.doi.org/10.1523/jneurosci.0412-19.2019","2019-09-09",0,1
"26","Michalikova M.","2019 august 22","NA","https://www.degruyter.com/view/journals/revneuro/31/1/article-p101.xml","10.1515/revneuro-2019-0044","0","1","NA","A01,A06","y","y","-","TRUE","Martina Michalikova, Michiel W.H. Remme, Dietmar Schmitz, Susanne Schreiber, Richard Kempter","Richard Kempter","http://dx.doi.org/10.1515/revneuro-2019-0044","2019-12-18",0,1
"28","Moon D.U.","NA","NA","https://www.eneuro.org/content/7/3/ENEURO.0537-19.2020","10.1523/eneuro.0537-19.2020","0","1","NA","B05","y","y","-","TRUE","Daa Un Moon, Nazli Esfahani-Bayerl, Carsten Finke, Daniel J. Salchow, Mario Menk, Simon Bayerl, Richard Kempter, Christoph J. Ploner","Christoph J. Ploner","http://dx.doi.org/10.1523/eneuro.0537-19.2020","2020-04-15",0,1
"31","Oldani, S","2020 march 27","https://www.biorxiv.org/content/10.1101/2020.03.27.011635v1.full","NA","10.1101/2020.03.27.011635","0","1","NA","A02/C01","y","Preprint","https://www.biorxiv.org/content/10.1101/2020.03.27.011635v1.full","TRUE","Silvia Oldani, Laura Moreno-Velasquez, Alexander Stumpf, Christian Rosenmund, Dietmar Schmitz, Benjamin R. Rost","Christian Rosenmund","http://dx.doi.org/10.1101/2020.03.27.011635","2020-03-27",0,1
"32","Pajkert A.","2020 may 18","NA","https://onlinelibrary.wiley.com/doi/abs/10.1111/ejn.14784","10.1111/ejn.14784","0","1","NA","B05","y","y","-","TRUE","Anna Pajkert, Christoph J. Ploner, Thomas‐Nicolas Lehmann, Veronica A. Witte, Frank Oltmanns, Werner Sommer, Martin Holtkamp, Hauke R. Heekeren, Carsten Finke","Carsten Finke","http://dx.doi.org/10.1111/ejn.14784","2020-06-03",0,1
"43","Shing Y.L.","NA","NA","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0215848","10.1371/journal.pone.0215848","0","1","NA","B04,B05","y","y","-","TRUE","Yee Lee Shing, Carsten Finke, Martina Hoffmann, Anna Pajkert, Hauke R. Heekeren, Christoph J. Ploner","Yee Lee Shing","http://dx.doi.org/10.1371/journal.pone.0215848","2019-04-22",0,1
"54","Tantirigama M.L.S.","2020 may 8","NA","https://www.frontiersin.org/articles/10.3389/fnsys.2020.00023/full","10.3389/fnsys.2020.00023","0","1","NA","A05,A04","y","y","-","TRUE","Malinda L. S. Tantirigama, Timothy Zolnik, Benjamin Judkewitz, Matthew E. Larkum, Robert N. S. Sachdev","Matthew E. Larkum,","http://dx.doi.org/10.3389/fnsys.2020.00023","2020-05-08",0,1
"55","Tukker J.J.","2020 may 8","NA","https://www.frontiersin.org/articles/10.3389/fnsys.2020.00022/full","10.3389/fnsys.2020.00022","0","1","NA","A01/A02,A04","y","y","-","TRUE","John J. Tukker, Prateep Beed, Dietmar Schmitz, Matthew E. Larkum, Robert N. S. Sachdev","Matthew E. Larkum","http://dx.doi.org/10.3389/fnsys.2020.00022","2020-05-08",0,1
"56","Valova V.","NA","NA","https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0039-3399529","10.1055/s-0039-3399529","1","0","??","B04","y","y","-","FALSE","Valeria Valova, Aleksandra Kochan, Bianca Werry, Rainer John, Christine Prager, Joanna Schneider, Angela M. Kaindl","Angela M. Kaindl","http://dx.doi.org/10.1055/s-0039-3399529","2019-11-21",0,1
